tick,population,average_age,collisions,deaths_collision,deaths_age,births_clone,births_spontaneous
294,8,102.75,1,1,0,0,0
295,8,103.75,0,0,0,0,0
296,8,104.75,0,0,0,0,0
297,8,105.75,0,0,0,0,0
298,8,106.75,0,0,0,0,0
299,9,95.7778,0,0,0,1,0
300,8,100.375,1,1,0,0,0
301,8,101.375,0,0,0,0,0
302,8,102.375,0,0,0,0,0
303,8,103.375,0,0,0,0,0
304,8,104.375,0,0,0,0,0
305,8,105.375,0,0,0,0,0
306,8,106.375,0,0,0,0,0
307,8,107.375,0,0,0,0,0
308,8,108.375,0,0,0,0,0
309,8,109.375,0,0,0,0,0
310,8,110.375,0,0,0,0,0
311,8,111.375,0,0,0,0,0
312,8,112.375,0,0,0,0,0
313,8,113.375,0,0,0,0,0
314,8,114.375,0,0,0,0,0
315,8,115.375,0,0,0,0,0
316,8,116.375,0,0,0,0,0
317,8,117.375,0,0,0,0,0
318,8,118.375,0,0,0,0,0
319,8,119.375,0,0,0,0,0
320,9,107,0,0,0,1,0
321,9,108,1,0,0,0,0
322,9,109,1,0,0,0,0
323,8,118.875,1,1,0,0,0
324,8,119.875,0,0,0,0,0
325,8,120.875,0,0,0,0,0
326,8,121.875,0,0,0,0,0
327,8,122.875,0,0,0,0,0
328,8,123.875,0,0,0,0,0
329,8,124.875,0,0,0,0,0
330,8,125.875,0,0,0,0,0
331,8,126.875,0,0,0,0,0
332,8,127.875,0,0,0,0,0
333,8,128.875,0,0,0,0,0
334,8,129.875,0,0,0,0,0
335,8,130.875,0,0,0,0,0
336,8,131.875,0,0,0,0,0
337,8,132.875,0,0,0,0,0
338,8,133.875,0,0,0,0,0
339,8,134.875,0,0,0,0,0
340,8,135.875,0,0,0,0,0
341,8,136.875,0,0,0,0,0
342,8,137.875,0,0,0,0,0
343,8,138.875,0,0,0,0,0
344,8,139.875,0,0,0,0,0
345,8,140.875,0,0,0,0,0
346,8,141.875,0,0,0,0,0
347,9,127,0,0,0,1,0
348,9,128,1,0,0,0,0
349,9,129,1,0,0,0,0
350,8,145.875,1,1,0,0,0
351,8,146.875,0,0,0,0,0
352,8,147.875,0,0,0,0,0
353,8,148.875,0,0,0,0,0
354,8,149.875,0,0,0,0,0
355,8,150.875,0,0,0,0,0
356,8,151.875,0,0,0,0,0
357,8,152.875,0,0,0,0,0
358,8,153.875,0,0,0,0,0
359,8,154.875,0,0,0,0,0
360,8,155.875,0,0,0,0,0
361,9,139.556,0,0,0,0,0
362,9,140.556,0,0,0,0,0
363,8,140.25,1,1,0,0,0
364,8,141.25,0,0,0,0,0
365,8,142.25,0,0,0,0,0
366,8,143.25,0,0,0,0,0
367,8,144.25,0,0,0,0,0
368,8,145.25,0,0,0,0,0
369,8,146.25,0,0,0,0,0
370,8,147.25,0,0,0,0,0
371,8,148.25,0,0,0,0,0
372,8,149.25,0,0,0,0,0
373,9,133.667,0,0,0,0,0
374,9,134.667,0,0,0,0,0
375,9,135.667,0,0,0,0,0
376,9,136.667,0,0,0,0,0
377,9,137.667,0,0,0,0,0
378,10,124.9,0,0,0,0,0
379,10,125.9,0,0,0,0,0
380,10,126.9,0,0,0,0,0
381,10,127.9,0,0,0,0,0
382,10,128.9,0,0,0,0,0
383,10,129.9,0,0,0,0,0
384,11,119.091,1,0,0,0,0
385,11,120.091,0,0,0,0,0
386,11,121.091,0,0,0,0,0
387,11,122.091,0,0,0,0,0
388,11,123.091,0,0,0,0,0
389,12,113.75,0,0,0,1,0
390,13,106,1,0,0,0,0
391,12,115.75,1,1,0,0,0
392,12,116.75,0,0,0,0,0
393,12,117.75,0,0,0,0,0
394,12,118.75,0,0,0,0,0
395,12,119.75,0,0,0,0,0
396,12,120.75,0,0,0,0,0
397,12,121.75,0,0,0,0,0
398,12,122.75,0,0,0,0,0
399,12,123.75,0,0,0,0,0
400,12,124.75,0,0,0,0,0
401,12,125.75,0,0,0,0,0
402,13,117.077,1,0,0,0,0
403,13,118.077,0,0,0,0,0
404,13,119.077,0,0,0,0,0
405,12,121.25,1,1,0,0,0
406,12,122.25,0,0,0,0,0
407,12,123.25,0,0,0,0,0
408,13,114.769,0,0,0,0,0
409,13,115.769,0,0,0,0,0
410,13,116.769,0,0,0,0,0
411,13,117.769,0,0,0,0,0
412,13,118.769,0,0,0,0,0
413,13,119.769,0,0,0,0,0
414,14,112.214,0,0,0,0,0
415,14,113.214,0,0,0,0,0
416,14,114.214,0,0,0,0,0
417,14,115.214,0,0,0,0,0
418,14,116.214,0,0,0,0,0
419,15,109.467,1,0,0,0,0
420,15,110.467,1,0,0,0,0
421,15,111.467,2,0,0,0,0
422,14,117.286,1,1,0,0,0
423,14,118.286,0,0,0,0,0
424,14,119.286,0,0,0,0,0
425,14,120.286,0,0,0,0,0
426,14,121.286,0,0,0,0,0
427,12,105.833,1,2,0,0,0
428,12,106.833,0,0,0,0,0
429,12,107.833,0,0,0,0,0
430,12,108.833,0,0,0,0,0
431,12,109.833,0,0,0,0,0
432,12,110.833,0,0,0,0,0
433,12,111.833,0,0,0,0,0
434,12,112.833,0,0,0,0,0
435,12,113.833,0,0,0,0,0
436,13,106,0,0,0,1,0
437,14,99.3571,1,0,0,1,0
438,14,100.357,2,0,0,0,0
439,14,101.357,2,0,0,0,0
440,14,102.357,2,0,0,0,0
441,14,103.357,2,0,0,0,0
442,13,112,2,1,0,0,0
443,13,113,1,0,0,0,0
444,13,114,1,0,0,0,0
445,14,106.786,1,0,0,1,0
446,14,107.786,2,0,0,0,0
447,14,108.786,2,0,0,0,0
448,14,109.786,2,0,0,0,0
449,14,110.786,2,0,0,0,0
450,15,104.4,2,0,0,0,0
451,15,105.4,2,0,0,0,0
452,14,108.286,2,1,0,0,0
453,13,107.462,1,1,0,0,0
454,13,108.462,0,0,0,0,0
455,13,109.462,0,0,0,0,0
456,13,110.462,0,0,0,0,0
457,13,111.462,0,0,0,0,0
458,13,112.462,0,0,0,0,0
459,13,113.462,0,0,0,0,0
460,13,114.462,0,0,0,0,0
461,13,115.462,0,0,0,0,0
462,13,116.462,0,0,0,0,0
463,13,117.462,0,0,0,0,0
464,13,118.462,0,0,0,0,0
465,13,119.462,0,0,0,0,0
466,13,120.462,0,0,0,0,0
467,13,121.462,0,0,0,0,0
468,13,122.462,0,0,0,0,0
469,13,123.462,0,0,0,0,0
470,13,124.462,0,0,0,0,0
471,13,125.462,0,0,0,0,0
472,14,117.429,0,0,0,1,0
473,13,127.462,1,1,0,0,0
474,13,128.462,1,0,0,0,0
475,13,129.462,1,0,0,0,0
476,12,136.5,1,1,0,0,0
477,12,137.5,0,0,0,0,0
478,13,127.846,0,0,0,1,0
479,13,128.846,1,0,0,0,0
480,13,129.846,1,0,0,0,0
481,13,130.846,1,0,0,0,0
482,13,131.846,1,0,0,0,0
483,13,132.846,1,0,0,0,0
484,11,133.273,2,2,0,0,0
485,11,134.273,1,0,0,0,0
486,11,135.273,0,0,0,0,0
487,11,136.273,0,0,0,0,0
488,11,137.273,1,0,0,0,0
489,11,138.273,1,0,0,0,0
490,10,122.4,1,1,0,0,0
491,10,123.4,0,0,0,0,0
492,10,124.4,0,0,0,0,0
493,10,125.4,0,0,0,0,0
494,10,126.4,0,0,0,0,0
495,10,127.4,0,0,0,0,0
496,10,128.4,0,0,0,0,0
497,10,129.4,0,0,0,0,0
498,8,139.5,1,2,0,0,0
499,8,140.5,0,0,0,0,0
500,8,141.5,0,0,0,0,0
501,8,142.5,0,0,0,0,0
502,8,143.5,0,0,0,0,0
503,8,144.5,1,0,0,0,0
504,8,145.5,0,0,0,0,0
505,8,146.5,0,0,0,0,0
506,8,147.5,0,0,0,0,0
507,8,148.5,0,0,0,0,0
508,8,149.5,0,0,0,0,0
